"","period","nsampled","treatment","BA","DM","DO","DS","NA","OL","OT","PB","PE","PF","PH","PI","PL","PM","PP","RF","RM","RO","SF","SH","SO"
"1","1","8","control","0","13","0","2","2","0","0","0","1","1","0","0","0","0","3","0","0","0","0","0","0"
"2","2","8","control","0","20","1","3","2","0","0","0","0","4","0","0","0","0","2","0","0","0","0","0","0"
"3","3","8","control","0","21","0","8","4","0","0","0","1","2","0","0","0","0","1","0","0","0","0","0","0"
"4","4","8","control","0","21","3","12","4","2","3","0","1","1","0","0","0","0","0","0","0","0","0","0","0"
"5","5","8","control","0","16","1","9","5","2","1","0","0","2","0","0","0","0","0","0","1","0","0","0","0"
"6","6","8","control","0","17","1","13","5","1","5","0","0","3","0","0","0","0","0","0","0","0","0","0","0"
"7","7","8","control","0","19","0","9","4","2","3","0","1","1","0","0","0","0","0","0","0","0","0","0","0"
"8","8","8","control","0","15","0","9","2","1","2","0","1","2","0","0","0","0","0","0","0","0","0","0","0"
"9","9","8","control","0","11","1","12","1","1","5","0","2","3","0","0","0","0","0","0","1","0","0","0","0"
"10","10","8","control","0","14","1","15","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","11","8","control","0","16","2","17","0","0","1","0","0","1","0","0","0","1","2","0","0","0","0","0","0"
"12","12","8","control","0","13","3","19","2","1","0","0","0","3","0","0","0","0","1","0","0","0","0","0","0"
"13","13","8","control","0","17","2","19","1","1","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"14","14","8","control","0","17","1","15","3","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","0"
"15","15","8","control","0","21","1","17","4","1","3","0","2","2","0","0","0","0","4","0","0","0","0","0","0"
"16","16","8","control","0","15","2","13","4","1","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0"
"17","17","8","control","0","15","3","7","2","3","6","0","1","0","0","0","0","0","0","0","0","0","0","1","0"
"18","18","8","control","0","14","2","7","2","10","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","19","8","control","0","15","1","3","0","4","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"20","20","8","control","0","15","1","7","0","4","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"21","21","8","control","0","10","2","12","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0"
"22","22","8","control","0","7","1","11","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","23","8","control","0","12","2","15","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24","24","8","control","0","7","1","8","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0"
"25","25","8","control","0","6","1","11","1","1","3","0","1","0","0","0","0","0","1","0","0","0","0","0","0"
"26","26","8","control","0","7","1","9","2","3","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"27","27","8","control","0","10","0","6","0","1","6","0","0","1","0","0","0","0","1","0","0","0","0","0","0"
"28","28","8","control","0","10","4","8","4","0","3","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"29","29","8","control","0","14","2","7","4","5","3","0","0","1","0","0","0","0","1","0","2","0","0","0","0"
"30","30","8","control","0","22","5","6","5","8","3","0","0","3","0","0","0","0","0","0","1","0","0","0","0"
"31","31","8","control","0","12","3","5","1","7","0","0","1","2","0","0","0","0","0","0","2","0","0","0","0"
"32","32","8","control","0","14","1","10","1","3","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0"
"33","33","8","control","0","12","2","11","0","3","1","0","0","4","0","0","0","0","0","0","0","0","0","0","0"
"34","34","8","control","0","11","3","15","4","2","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"35","35","8","control","0","14","5","18","0","1","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"36","36","8","control","0","10","5","14","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"37","37","8","control","0","11","3","12","2","2","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"38","38","8","control","0","9","1","13","2","1","5","0","0","2","0","0","0","0","3","0","0","0","0","0","0"
"39","39","8","control","0","8","1","11","1","6","3","0","0","1","0","0","0","0","1","0","0","0","0","0","0"
"40","40","8","control","0","11","3","11","1","6","2","0","0","3","0","0","0","0","0","0","0","0","0","0","0"
"41","41","8","control","0","21","2","10","2","2","5","0","1","3","0","0","0","0","0","0","0","0","0","0","0"
